id,technology,country.name,level,renewable,energy.source,producing.country,consuming.country,status,name,show
1,ANrBiomass,Angola,Energy Source,Renewable,Biomass,Angola,Angola,N/A,Biomass,yes
2,ANrCoal,Angola,Energy Source,Not renewable,Coal,Angola,Angola,N/A,Coal,yes
3,ANrCoalCCS,Angola,Energy Source,Not renewable,CoalCCS,Angola,Angola,N/A,CoalCCS,yes
4,ANrCrude,Angola,Energy Source,Not renewable,Crude,Angola,Angola,N/A,Crude,yes
5,ANrDiesel,Angola,Energy Source,Not renewable,Diesel,Angola,Angola,N/A,Diesel,yes
6,ANrEBZ,Angola,Demand,N/A,Electricity,Angola,Angola,N/A,Unserved Energy,yes
7,ANrEDist,Angola,Distribution,N/A,Electricity,Angola,Angola,N/A,Heavy Industry,no
8,ANrEDistRural,Angola,Distribution,N/A,Electricity,Angola,Angola,N/A,Rural,no
9,ANrEDistUrban,Angola,Distribution,N/A,Electricity,Angola,Angola,N/A,Urban/Services/Small Industry,no
10,ANrEInd,Angola,Demand,N/A,Electricity,Angola,Angola,N/A,Heavy Industry,yes
11,ANrEPBIONU,Angola,Centralised Generation,Renewable,Biomass,Angola,Angola,New Uncommitted,Biomass,yes
12,ANrEPCOANUSC,Angola,Centralised Generation,Not renewable,Coal,Angola,Angola,New Uncommitted,Supercritical coal,yes
13,ANrEPCOCNUCCS,Angola,Centralised Generation,Not renewable,Coal,Angola,Angola,New Uncommitted,Supercritical coal w CCS,yes
14,ANrEPGASEXOC,Angola,Centralised Generation,Not renewable,Gas,Angola,Angola,Existing,SCGT,yes
15,ANrEPGASNUCC,Angola,Centralised Generation,Not renewable,Gas,Angola,Angola,New Uncommitted,CCGT,yes
16,ANrEPGASNUOC,Angola,Centralised Generation,Not renewable,Gas,Angola,Angola,New Uncommitted,OCGT,yes
17,ANrEPGASNUSO,Angola,Centralised Generation,Not renewable,Gas,Angola,Angola,New Uncommitted,Solar thermal with gas co-firing,yes
18,ANrEPGEONU,Angola,Centralised Generation,Not renewable,Gas,Angola,Angola,New Uncommitted,Geothermal,yes
19,ANrEPHYDEXHA,Angola,Centralised Generation,Renewable,Hydro,Angola,Angola,Existing,High Availability,yes
20,ANrEPHYDEXLA,Angola,Centralised Generation,Renewable,Hydro,Angola,Angola,Existing,Low Availability,yes
21,ANrEPHYDNCcam,Angola,Centralised Generation,Renewable,Hydro,Angola,Angola,New Committed,Cambambe II hydro,yes
22,ANrEPHYDNCcap,Angola,Centralised Generation,Renewable,Hydro,Angola,Angola,New Committed,Capanda II hydro,yes
23,ANrEPHYDNCgov,Angola,Centralised Generation,Renewable,Hydro,Angola,Angola,New Committed,Gove hydro,yes
24,ANrEPHYDNU,Angola,Centralised Generation,Renewable,Hydro,Angola,Angola,New Uncommitted,Hydro,yes
25,ANrEPHYDNUkba,Angola,Centralised Generation,Renewable,Hydro,Angola,Angola,New Uncommitted,Kuanza Basin,yes
26,ANrEPHYDNUmic,Angola,Distributed Generation,Renewable,Hydro,Angola,Angola,New Uncommitted,Small Hydro,yes
27,ANrEPNUCNUPW,Angola,Centralised Generation,Not renewable,Nuclear,Angola,Angola,New Uncommitted,PWR nuclear,yes
28,ANrEPODSEXOC,Angola,Centralised Generation,Not renewable,Oil,Angola,Angola,Existing,Diesel,yes
29,ANrEPODSNCOCben,Angola,Centralised Generation,Not renewable,Oil,Angola,Angola,New Committed,Benguela Thermal,yes
30,ANrEPODSNCOCdie,Angola,Centralised Generation,Not renewable,Oil,Angola,Angola,New Committed,Diesels,yes
31,ANrEPODSNCOCt12,Angola,Centralised Generation,Not renewable,Oil,Angola,Angola,New Committed,TG-12.5,yes
32,ANrEPODSNCOCt20,Angola,Centralised Generation,Not renewable,Oil,Angola,Angola,New Committed,TG-20,yes
33,ANrEPODSNU,Angola,Centralised Generation,Not renewable,Oil,Angola,Angola,New Uncommitted,Diesel,yes
34,ANrEPODSNUind,Angola,Distributed Generation,Not renewable,Oil,Angola,Angola,New Uncommitted,Diesel 100 kW system (industry),yes
35,ANrEPODSNUOCt40,Angola,Centralised Generation,Not renewable,Oil,Angola,Angola,New Uncommitted,TG-40,yes
36,ANrEPODSNUOCt60,Angola,Centralised Generation,Not renewable,Oil,Angola,Angola,New Uncommitted,TG-60,yes
37,ANrEPODSNUrur,Angola,Distributed Generation,Not renewable,Oil,Angola,Angola,New Uncommitted,Diesel/Gasoline 1kW system (residential/commercial),yes
38,ANrEPODSNUurb,Angola,Distributed Generation,Not renewable,Oil,Angola,Angola,New Uncommitted,Diesel/Gasoline 1kW system (residential/commercial),yes
39,ANrEPOHFNU,Angola,Centralised Generation,Not renewable,Oil,Angola,Angola,New Uncommitted,HFO,yes
40,ANrEPSOLNUPVrt,Angola,Distributed Generation,Renewable,Solar PV,Angola,Angola,New Uncommitted,Solar PV (roof top - urban),yes
41,ANrEPSOLNUPVrtru,Angola,Distributed Generation,Renewable,Solar PV,Angola,Angola,New Uncommitted,Solar PV (roof top - rural),yes
42,ANrEPSOLNUPVst,Angola,Distributed Generation,Renewable,Solar PV,Angola,Angola,New Uncommitted,PV with 1hr Battery (roof top - urban),yes
43,ANrEPSOLNUPVst2,Angola,Distributed Generation,Renewable,Solar PV,Angola,Angola,New Uncommitted,PV with 2hr Battery (roof top - urban),yes
44,ANrEPSOLNUPVstru,Angola,Distributed Generation,Renewable,Solar PV,Angola,Angola,New Uncommitted,PV with 1h Battery (roof top - rural),yes
45,ANrEPSOLNUPVstru2,Angola,Distributed Generation,Renewable,Solar PV,Angola,Angola,New Uncommitted,PV with 2h Battery (roof top - rural),yes
46,ANrEPSOLNUPVut,Angola,Centralised Generation,Renewable,Solar PV,Angola,Angola,New Uncommitted,Solar PV (utility),yes
47,ANrEPTSONUTH,Angola,Centralised Generation,Renewable,Solar Thermal,Angola,Angola,New Uncommitted,Solar thermal no storage,yes
48,ANrEPTSONUTHst,Angola,Centralised Generation,Renewable,Solar Thermal,Angola,Angola,New Uncommitted,Solar thermal with Storage,yes
49,ANrEPWNDNU25,Angola,Centralised Generation,Renewable,Wind,Angola,Angola,New Uncommitted,Bulk Wind (20% CF),yes
50,ANrEPWNDNU30,Angola,Centralised Generation,Renewable,Wind,Angola,Angola,New Uncommitted,Bulk Wind (30% CF),yes
51,ANrERural,Angola,Demand,N/A,Electricity,Angola,Angola,N/A,Rural,yes
52,ANrETrans,Angola,Transmission (local),N/A,Electricity,Angola,Angola,N/A,Local,no
53,ANrEUrban,Angola,Demand,N/A,Electricity,Angola,Angola,N/A,Urban/Services/Small Industry,yes
54,ANrEXelc,Angola,Export,N/A,Electricity,Angola,Angola,N/A,Electricity Export,no
55,ANrGas,Angola,Energy Source,Not renewable,Gas,Angola,Angola,N/A,Gas,yes
56,ANrIMIelc,Angola,Import,N/A,Electricity,Angola,Angola,N/A,Electricity Import,no
57,ANrNuclear,Angola,Energy Source,Not renewable,Nuclear,Angola,Angola,N/A,Nuclear,yes
58,ANrOHF,Angola,Energy Source,Not renewable,OHF,Angola,Angola,N/A,OHF,yes
59,ANrOil,Angola,Energy Source,Not renewable,Oil,Angola,Angola,N/A,Oil,yes
60,BOrBiomass,Botswana,Energy Source,Renewable,Biomass,Botswana,Botswana,N/A,Biomass,yes
61,BOrCoal,Botswana,Energy Source,Not renewable,Coal,Botswana,Botswana,N/A,Coal,yes
62,BOrCoalCCS,Botswana,Energy Source,Not renewable,CoalCCS,Botswana,Botswana,N/A,CoalCCS,yes
63,BOrCrude,Botswana,Energy Source,Not renewable,Crude,Botswana,Botswana,N/A,Crude,yes
64,BOrDiesel,Botswana,Energy Source,Not renewable,Diesel,Botswana,Botswana,N/A,Diesel,yes
65,BOrEBZ,Botswana,Demand,N/A,Electricity,Botswana,Botswana,N/A,Unserved Energy,yes
66,BOrEDist,Botswana,Distribution,N/A,Electricity,Botswana,Botswana,N/A,Heavy Industry,no
67,BOrEDistRural,Botswana,Distribution,N/A,Electricity,Botswana,Botswana,N/A,Rural,no
68,BOrEDistUrban,Botswana,Distribution,N/A,Electricity,Botswana,Botswana,N/A,Urban/Services/Small Industry,no
69,BOrEInd,Botswana,Demand,N/A,Electricity,Botswana,Botswana,N/A,Heavy Industry,yes
70,BOrEPBIONU,Botswana,Centralised Generation,Renewable,Biomass,Botswana,Botswana,New Uncommitted,Biomass,yes
71,BOrEPCOAEXPF,Botswana,Centralised Generation,Not renewable,Coal,Botswana,Botswana,Existing,Morupule,yes
72,BOrEPCOANUSC,Botswana,Centralised Generation,Not renewable,Coal,Botswana,Botswana,New Uncommitted,Supercritical coal,yes
73,BOrEPCOANUSCmma,Botswana,Centralised Generation,Not renewable,Coal,Botswana,Botswana,New Uncommitted,Mmamabula coal,yes
74,BOrEPCOANUSCmor,Botswana,Centralised Generation,Not renewable,Coal,Botswana,Botswana,New Uncommitted,Morupule B coal,yes
75,BOrEPCOCNUCCS,Botswana,Centralised Generation,Not renewable,Coal,Botswana,Botswana,New Uncommitted,Supercritical coal w CCS,yes
76,BOrEPGASNUCC,Botswana,Centralised Generation,Not renewable,Gas,Botswana,Botswana,New Uncommitted,CCGT,yes
77,BOrEPGASNUOC,Botswana,Centralised Generation,Not renewable,Gas,Botswana,Botswana,New Uncommitted,OCGT,yes
78,BOrEPGASNUSO,Botswana,Centralised Generation,Not renewable,Gas,Botswana,Botswana,New Uncommitted,Solar thermal with gas co-firing,yes
79,BOrEPGEONU,Botswana,Centralised Generation,Not renewable,Gas,Botswana,Botswana,New Uncommitted,Geothermal,yes
80,BOrEPHYDNU,Botswana,Centralised Generation,Renewable,Hydro,Botswana,Botswana,New Uncommitted,Hydro,yes
81,BOrEPHYDNUmic,Botswana,Distributed Generation,Renewable,Hydro,Botswana,Botswana,New Uncommitted,Small Hydro,yes
82,BOrEPNUCNUPW,Botswana,Centralised Generation,Not renewable,Nuclear,Botswana,Botswana,New Uncommitted,PWR nuclear,yes
83,BOrEPODSNU,Botswana,Centralised Generation,Not renewable,Oil,Botswana,Botswana,New Uncommitted,Diesel,yes
84,BOrEPODSNUind,Botswana,Distributed Generation,Not renewable,Oil,Botswana,Botswana,New Uncommitted,Diesel 100 kW system (industry),yes
85,BOrEPODSNUrur,Botswana,Distributed Generation,Not renewable,Oil,Botswana,Botswana,New Uncommitted,Diesel/Gasoline 1kW system (residential/commercial),yes
86,BOrEPODSNUurb,Botswana,Distributed Generation,Not renewable,Oil,Botswana,Botswana,New Uncommitted,Diesel/Gasoline 1kW system (residential/commercial),yes
87,BOrEPOHFNU,Botswana,Centralised Generation,Not renewable,Oil,Botswana,Botswana,New Uncommitted,HFO,yes
88,BOrEPSOLNUPVrt,Botswana,Distributed Generation,Renewable,Solar PV,Botswana,Botswana,New Uncommitted,Solar PV (roof top - urban),yes
89,BOrEPSOLNUPVrtru,Botswana,Distributed Generation,Renewable,Solar PV,Botswana,Botswana,New Uncommitted,Solar PV (roof top - rural),yes
90,BOrEPSOLNUPVst,Botswana,Distributed Generation,Renewable,Solar PV,Botswana,Botswana,New Uncommitted,PV with 1hr Battery (roof top - urban),yes
91,BOrEPSOLNUPVst2,Botswana,Distributed Generation,Renewable,Solar PV,Botswana,Botswana,New Uncommitted,PV with 2hr Battery (roof top - urban),yes
92,BOrEPSOLNUPVstru,Botswana,Distributed Generation,Renewable,Solar PV,Botswana,Botswana,New Uncommitted,PV with 1h Battery (roof top - rural),yes
93,BOrEPSOLNUPVstru2,Botswana,Distributed Generation,Renewable,Solar PV,Botswana,Botswana,New Uncommitted,PV with 2h Battery (roof top - rural),yes
94,BOrEPSOLNUPVut,Botswana,Centralised Generation,Renewable,Solar PV,Botswana,Botswana,New Uncommitted,Solar PV (utility),yes
95,BOrEPTSONUTH,Botswana,Centralised Generation,Renewable,Solar Thermal,Botswana,Botswana,New Uncommitted,Solar thermal no storage,yes
96,BOrEPTSONUTHst,Botswana,Centralised Generation,Renewable,Solar Thermal,Botswana,Botswana,New Uncommitted,Solar thermal with Storage,yes
97,BOrEPWNDNU25,Botswana,Centralised Generation,Renewable,Wind,Botswana,Botswana,New Uncommitted,Bulk Wind (20% CF),yes
98,BOrEPWNDNU30,Botswana,Centralised Generation,Renewable,Wind,Botswana,Botswana,New Uncommitted,Bulk Wind (30% CF),yes
99,BOrERural,Botswana,Demand,N/A,Electricity,Botswana,Botswana,N/A,Rural,yes
100,BOrETrans,Botswana,Transmission (local),N/A,Electricity,Botswana,Botswana,N/A,Local,no
101,BOrEUrban,Botswana,Demand,N/A,Electricity,Botswana,Botswana,N/A,Urban/Services/Small Industry,yes
102,BOrEXelc,Botswana,Export,N/A,Electricity,Botswana,Botswana,N/A,Electricity Export,no
103,BOrGas,Botswana,Energy Source,Not renewable,Gas,Botswana,Botswana,N/A,Gas,yes
104,BOrIMIelc,Botswana,Import,N/A,Electricity,Botswana,Botswana,N/A,Electricity Import,no
105,BOrNuclear,Botswana,Energy Source,Not renewable,Nuclear,Botswana,Botswana,N/A,Nuclear,yes
106,BOrOHF,Botswana,Energy Source,Not renewable,OHF,Botswana,Botswana,N/A,OHF,yes
107,BOrOil,Botswana,Energy Source,Not renewable,Oil,Botswana,Botswana,N/A,Oil,yes
108,DRrBiomass,DRC,Energy Source,Renewable,Biomass,DRC,DRC,N/A,Biomass,yes
109,DRrCoal,DRC,Energy Source,Not renewable,Coal,DRC,DRC,N/A,Coal,yes
110,DRrCoalCCS,Democratic Republic of Congo,Energy Source,Not renewable,CoalCCS,Democratic Republic of Congo,Democratic Republic of Congo,N/A,CoalCCS,yes
111,DRrCrude,DRC,Energy Source,Not renewable,Crude,DRC,DRC,N/A,Crude,yes
112,DRrDiesel,Democratic Republic of Congo,Energy Source,Not renewable,Diesel,Democratic Republic of Congo,Democratic Republic of Congo,N/A,Diesel,yes
113,DRrEBZ,DRC,Demand,N/A,Electricity,DRC,DRC,N/A,Unserved Energy,yes
114,DRrEDist,DRC,Distribution,N/A,Electricity,DRC,DRC,N/A,Heavy Industry,no
115,DRrEDistRural,DRC,Distribution,N/A,Electricity,DRC,DRC,N/A,Rural,no
116,DRrEDistUrban,DRC,Distribution,N/A,Electricity,DRC,DRC,N/A,Urban/Services/Small Industry,no
117,DRrEInd,DRC,Demand,N/A,Electricity,DRC,DRC,N/A,Heavy Industry,yes
118,DRrEPBIONU,DRC,Centralised Generation,Renewable,Biomass,DRC,DRC,New Uncommitted,Biomass,yes
119,DRrEPCOANUSC,DRC,Centralised Generation,Not renewable,Coal,DRC,DRC,New Uncommitted,Supercritical coal,yes
120,DRrEPGASNUCC,DRC,Centralised Generation,Not renewable,Gas,DRC,DRC,New Uncommitted,CCGT,yes
121,DRrEPGASNUOC,DRC,Centralised Generation,Not renewable,Gas,DRC,DRC,New Uncommitted,OCGT,yes
122,DRrEPGASNUSO,DRC,Centralised Generation,Not renewable,Gas,DRC,DRC,New Uncommitted,Solar thermal with gas co-firing,yes
123,DRrEPGEONU,DRC,Centralised Generation,Not renewable,Gas,DRC,DRC,New Uncommitted,Geothermal,yes
124,DRrEPHYDEXHA,DRC,Centralised Generation,Renewable,Hydro,DRC,DRC,Existing,High Availability,yes
125,DRrEPHYDEXinga,DRC,Centralised Generation,Renewable,Hydro,DRC,DRC,Existing,Inga,yes
126,DRrEPHYDEXLA,DRC,Centralised Generation,Renewable,Hydro,DRC,DRC,Existing,Low Availability,yes
127,DRrEPHYDNU,DRC,Centralised Generation,Renewable,Hydro,DRC,DRC,New Uncommitted,Hydro,yes
128,DRrEPHYDNUmic,DRC,Distributed Generation,Renewable,Hydro,DRC,DRC,New Uncommitted,Small Hydro,yes
129,DRrEPHYDUCbus,DRC,Centralised Generation,Renewable,Hydro,DRC,DRC,UC,Busanga hydro,yes
130,DRrEPHYDUCgin,DRC,Centralised Generation,Renewable,Hydro,DRC,DRC,UC,Grand Inga,yes
131,DRrEPHYDUCin3,DRC,Centralised Generation,Renewable,Hydro,DRC,DRC,UC,Inga 3 hydro,yes
132,DRrEPNUCNUPW,DRC,Centralised Generation,Not renewable,Nuclear,DRC,DRC,New Uncommitted,PWR nuclear,yes
133,DRrEPODSNU,DRC,Centralised Generation,Not renewable,Oil,DRC,DRC,New Uncommitted,Diesel,yes
134,DRrEPODSNUind,DRC,Distributed Generation,Not renewable,Oil,DRC,DRC,New Uncommitted,Diesel 100 kW system (industry),yes
135,DRrEPODSNUrur,DRC,Distributed Generation,Not renewable,Oil,DRC,DRC,New Uncommitted,Diesel/Gasoline 1kW system (residential/commercial),yes
136,DRrEPODSNUurb,DRC,Distributed Generation,Not renewable,Oil,DRC,DRC,New Uncommitted,Diesel/Gasoline 1kW system (residential/commercial),yes
137,DRrEPOHFNU,DRC,Centralised Generation,Not renewable,Oil,DRC,DRC,New Uncommitted,HFO,yes
138,DRrEPSOLNUPVrt,DRC,Distributed Generation,Renewable,Solar PV,DRC,DRC,New Uncommitted,Solar PV (roof top - urban),yes
139,DRrEPSOLNUPVrtru,DRC,Distributed Generation,Renewable,Solar PV,DRC,DRC,New Uncommitted,Solar PV (roof top - rural),yes
140,DRrEPSOLNUPVst,DRC,Distributed Generation,Renewable,Solar PV,DRC,DRC,New Uncommitted,PV with 1hr Battery (roof top - urban),yes
141,DRrEPSOLNUPVst2,DRC,Distributed Generation,Renewable,Solar PV,DRC,DRC,New Uncommitted,PV with 2hr Battery (roof top - urban),yes
142,DRrEPSOLNUPVstru,DRC,Distributed Generation,Renewable,Solar PV,DRC,DRC,New Uncommitted,PV with 1h Battery (roof top - rural),yes
143,DRrEPSOLNUPVstru2,DRC,Distributed Generation,Renewable,Solar PV,DRC,DRC,New Uncommitted,PV with 2h Battery (roof top - rural),yes
144,DRrEPSOLNUPVut,DRC,Centralised Generation,Renewable,Solar PV,DRC,DRC,New Uncommitted,Solar PV (utility),yes
145,DRrEPTSONUTH,DRC,Centralised Generation,Renewable,Solar Thermal,DRC,DRC,New Uncommitted,Solar thermal no storage,yes
146,DRrEPTSONUTHst,DRC,Centralised Generation,Renewable,Solar Thermal,DRC,DRC,New Uncommitted,Solar thermal with Storage,yes
147,DRrEPWNDNU25,DRC,Centralised Generation,Renewable,Wind,DRC,DRC,New Uncommitted,Bulk Wind (20% CF),yes
148,DRrEPWNDNU30,DRC,Centralised Generation,Renewable,Wind,DRC,DRC,New Uncommitted,Bulk Wind (30% CF),yes
149,DRrERural,DRC,Demand,N/A,Electricity,DRC,DRC,N/A,Rural,yes
150,DRrETrans,DRC,Transmission (local),N/A,Electricity,DRC,DRC,N/A,Local,no
151,DRrEUrban,DRC,Demand,N/A,Electricity,DRC,DRC,N/A,Urban/Services/Small Industry,yes
152,DRrEXelc,DRC,Export,N/A,Electricity,DRC,DRC,N/A,Electricity Export,no
153,DRrGas,DRC,Energy Source,Not renewable,Gas,DRC,DRC,N/A,Gas,yes
154,DRrIMIelc,DRC,Import,N/A,Electricity,DRC,DRC,N/A,Electricity Import,no
155,DRrNuclear,Democratic Republic of Congo,Energy Source,Not renewable,Nuclear,Democratic Republic of Congo,Democratic Republic of Congo,N/A,Nuclear,yes
156,DRrOHF,DRC,Energy Source,Not renewable,OHF,DRC,DRC,N/A,OHF,yes
157,DRrOil,DRC,Energy Source,Not renewable,Oil,DRC,DRC,N/A,Oil,yes
158,ELEXBOrSAr,South Africa,Transmission,N/A,Electricity,Botswana,South Africa,Existing,Botswana-South Africa,yes
159,ELEXBOrZIr,Zimbabwe,Transmission,N/A,Electricity,Botswana,Zimbabwe,Existing,Botswana-Zimbabwe,yes
160,ELEXDRrZAr,Zambia,Transmission,N/A,Electricity,Democratic Republic of Congo,Zambia,Existing,Democratic Republic of Congo-Zambia,yes
161,ELEXLErSAr,South Africa,Transmission,N/A,Electricity,Lesotho,South Africa,Existing,Lesotho-South Africa,yes
162,ELEXMOrSAr,South Africa,Transmission,N/A,Electricity,Mozambique,South Africa,Existing,Mozambique-South Africa,yes
163,ELEXMOrSWr,Swaziland,Transmission,N/A,Electricity,Mozambique,Swaziland,Existing,Mozambique-Swaziland,yes
164,ELEXMOrZIr,Zimbabwe,Transmission,N/A,Electricity,Mozambique,Zimbabwe,Existing,Mozambique-Zimbabwe,yes
165,ELEXNArSAr,South Africa,Transmission,N/A,Electricity,Namibia,South Africa,Existing,Namibia-South Africa,yes
166,ELEXSArBOr,Botswana,Transmission,N/A,Electricity,South Africa,Botswana,Existing,South Africa-Botswana,yes
167,ELEXSArLEr,Lesotho,Transmission,N/A,Electricity,South Africa,Lesotho,Existing,South Africa-Lesotho,yes
168,ELEXSArMOr,Mozambique,Transmission,N/A,Electricity,South Africa,Mozambique,Existing,South Africa-Mozambique,yes
169,ELEXSArNAr,Namibia,Transmission,N/A,Electricity,South Africa,Namibia,Existing,South Africa-Namibia,yes
170,ELEXSArSWr,Swaziland,Transmission,N/A,Electricity,South Africa,Swaziland,Existing,South Africa-Swaziland,yes
171,ELEXSArZIr,Zimbabwe,Transmission,N/A,Electricity,South Africa,Zimbabwe,Existing,South Africa-Zimbabwe,yes
172,ELEXSWrMOr,Mozambique,Transmission,N/A,Electricity,Swaziland,Mozambique,Existing,Swaziland-Mozambique,yes
173,ELEXSWrSAr,South Africa,Transmission,N/A,Electricity,Swaziland,South Africa,Existing,Swaziland-South Africa,yes
174,ELEXZArDRr,DRC,Transmission,N/A,Electricity,Zambia,Democratic Republic of Congo,Existing,Zambia-Democratic Republic of Congo,yes
175,ELEXZArZIr,Zimbabwe,Transmission,N/A,Electricity,Zambia,Zimbabwe,Existing,Zambia-Zimbabwe,yes
176,ELEXZIrBOr,Botswana,Transmission,N/A,Electricity,Zimbabwe,Botswana,Existing,Zimbabwe-Botswana,yes
177,ELEXZIrMOr,Mozambique,Transmission,N/A,Electricity,Zimbabwe,Mozambique,Existing,Zimbabwe-Mozambique,yes
178,ELEXZIrSAr,South Africa,Transmission,N/A,Electricity,Zimbabwe,South Africa,Existing,Zimbabwe-South Africa,yes
179,ELEXZIrZAr,Zambia,Transmission,N/A,Electricity,Zimbabwe,Zambia,Existing,Zimbabwe-Zambia,yes
180,ELNCzizBOrNAr,Namibia,Transmission,N/A,Electricity,Botswana,Namibia,New Committed,Botswana-Namibia,yes
181,ELNCzizBOrZIr,Zimbabwe,Transmission,N/A,Electricity,Botswana,Zimbabwe,New Committed,Botswana-Zimbabwe,yes
182,ELNCzizNArBOr,Botswana,Transmission,N/A,Electricity,Namibia,Botswana,New Committed,Namibia-Botswana,yes
183,ELNCzizNArZAr,Zambia,Transmission,N/A,Electricity,Namibia,Zambia,New Committed,Namibia-Zambia,yes
184,ELNCzizNArZIr,Zimbabwe,Transmission,N/A,Electricity,Namibia,Zimbabwe,New Committed,Namibia-Zimbabwe,yes
185,ELNCzizZArNAr,Namibia,Transmission,N/A,Electricity,Zambia,Namibia,New Committed,Zambia-Namibia,yes
186,ELNCzizZArZIr,Zimbabwe,Transmission,N/A,Electricity,Zambia,Zimbabwe,New Committed,Zambia-Zimbabwe,yes
187,ELNCzizZIrBOr,Botswana,Transmission,N/A,Electricity,Zimbabwe,Botswana,New Committed,Zimbabwe-Botswana,yes
188,ELNCzizZIrNAr,Namibia,Transmission,N/A,Electricity,Zimbabwe,Namibia,New Committed,Zimbabwe-Namibia,yes
189,ELNCzizZIrZAr,Zambia,Transmission,N/A,Electricity,Zimbabwe,Zambia,New Committed,Zimbabwe-Zambia,yes
190,ELNU765DRrZAr,Zambia,Transmission,N/A,Electricity,Democratic Republic of Congo,Zambia,New Uncommitted,Democratic Republic of Congo-Zambia,yes
191,ELNU765NArZIr,Zimbabwe,Transmission,N/A,Electricity,Namibia,Zimbabwe,New Uncommitted,Namibia-Zimbabwe,yes
192,ELNU765SArZIr,Zimbabwe,Transmission,N/A,Electricity,South Africa,Zimbabwe,New Uncommitted,South Africa-Zimbabwe,yes
193,ELNU765ZArDRr,DRC,Transmission,N/A,Electricity,Zambia,Democratic Republic of Congo,New Uncommitted,Zambia-Democratic Republic of Congo,yes
194,ELNU765ZArZIr,Zimbabwe,Transmission,N/A,Electricity,Zambia,Zimbabwe,New Uncommitted,Zambia-Zimbabwe,yes
195,ELNU765ZIrNAr,Namibia,Transmission,N/A,Electricity,Zimbabwe,Namibia,New Uncommitted,Zimbabwe-Namibia,yes
196,ELNU765ZIrSAr,South Africa,Transmission,N/A,Electricity,Zimbabwe,South Africa,New Uncommitted,Zimbabwe-South Africa,yes
197,ELNU765ZIrZAr,Zambia,Transmission,N/A,Electricity,Zimbabwe,Zambia,New Uncommitted,Zimbabwe-Zambia,yes
198,ELNUothANrDRr,DRC,Transmission,N/A,Electricity,Angola,Democratic Republic of Congo,New Uncommitted,Angola-Democratic Republic of Congo,yes
199,ELNUothAnrNAr,Namibia,Transmission,N/A,Electricity,Angola,Namibia,New Uncommitted,Angola-Namibia,yes
200,ELNUothBOrSAr,South Africa,Transmission,N/A,Electricity,Botswana,South Africa,New Uncommitted,Botswana-South Africa,yes
201,ELNUothDRrANr,Angola,Transmission,N/A,Electricity,Democratic Republic of Congo,Angola,New Uncommitted,Democratic Republic of Congo-Angola,yes
202,ELNUothDRrZAr,Zambia,Transmission,N/A,Electricity,Democratic Republic of Congo,Zambia,New Uncommitted,Democratic Republic of Congo-Zambia,yes
203,ELNUothLErSAr,South Africa,Transmission,N/A,Electricity,Lesotho,South Africa,New Uncommitted,Lesotho-South Africa,yes
204,ELNUothMArMOrpm,Mozambique,Transmission,N/A,Electricity,Malawi,Mozambique,New Uncommitted,Malawi-Mozambique,yes
205,ELNUothMArMOrps,Mozambique,Transmission,N/A,Electricity,Malawi,Mozambique,New Uncommitted,Malawi-Mozambique,yes
206,ELNUothMArZAr,Zambia,Transmission,N/A,Electricity,Malawi,Zambia,New Uncommitted,Malawi-Zambia,yes
207,ELNUothMOrMArpm,Malawi,Transmission,N/A,Electricity,Mozambique,Malawi,New Uncommitted,Mozambique-Malawi,yes
208,ELNUothMOrMArps,Malawi,Transmission,N/A,Electricity,Mozambique,Malawi,New Uncommitted,Mozambique-Malawi,yes
209,ELNUothMOrSAr,South Africa,Transmission,N/A,Electricity,Mozambique,South Africa,New Uncommitted,Mozambique-South Africa,yes
210,ELNUothMOrZIr,Zimbabwe,Transmission,N/A,Electricity,Mozambique,Zimbabwe,New Uncommitted,Mozambique-Zimbabwe,yes
211,ELNUothNArAnr,Angola,Transmission,N/A,Electricity,Namibia,Angola,New Uncommitted,Namibia-Angola,yes
212,ELNUothNArSAr,South Africa,Transmission,N/A,Electricity,Namibia,South Africa,New Uncommitted,Namibia-South Africa,yes
213,ELNUothSArBOr,Botswana,Transmission,N/A,Electricity,South Africa,Botswana,New Uncommitted,South Africa-Botswana,yes
214,ELNUothSArLEr,Lesotho,Transmission,N/A,Electricity,South Africa,Lesotho,New Uncommitted,South Africa-Lesotho,yes
215,ELNUothSArMOr,Mozambique,Transmission,N/A,Electricity,South Africa,Mozambique,New Uncommitted,South Africa-Mozambique,yes
216,ELNUothSArNAr,Namibia,Transmission,N/A,Electricity,South Africa,Namibia,New Uncommitted,South Africa-Namibia,yes
217,ELNUothSArSWr,Swaziland,Transmission,N/A,Electricity,South Africa,Swaziland,New Uncommitted,South Africa-Swaziland,yes
218,ELNUothSArZIr,Zimbabwe,Transmission,N/A,Electricity,South Africa,Zimbabwe,New Uncommitted,South Africa-Zimbabwe,yes
219,ELNUothSWrSAr,South Africa,Transmission,N/A,Electricity,Swaziland,South Africa,New Uncommitted,Swaziland-South Africa,yes
220,ELNUothTArZAr,Zambia,Transmission,N/A,Electricity,Tanzania,Zambia,New Uncommitted,Tanzania-Zambia,yes
221,ELNUothZArDRr,DRC,Transmission,N/A,Electricity,Zambia,Democratic Republic of Congo,New Uncommitted,Zambia-Democratic Republic of Congo,yes
222,ELNUothZArMAr,Malawi,Transmission,N/A,Electricity,Zambia,Malawi,New Uncommitted,Zambia-Malawi,yes
